rating,company_name,job_position,location,salary_range_INR,average_salary_lakhs,rating_bucket_list,job_simp,seniority,state
3.2,                 Glamyo Health                ,                Data Analyst               ,New Delhi,                 7L - 11L                                   ,9.0,3.0,Data Analyst,na,Delhi
5.0,                 Fincor Management Advisory Services Pvt. Ltd.                ,                Data engineering ESG Analyst               ,Chandigarh,1.2L - 3.6L,2.5,5.0,Data engineering,na,Chandigarh
4.0,                 Simply logistics pvt ltd                ,                Data Analyst               ,New Delhi,                 5L - 10L                                   ,7.5,4.0,Data Analyst,na,Delhi
4.1,                 RxLogix                ,                Data Analyst               ,Noida,6.6L - 8.4L,7.5,4.0,Data Analyst,na,Uttar Pradesh
5.0,                 Dileep Essentials Pvt. Ltd.                ,                Data Analyst               ,Jaipur,                 5L - 8L                                   ,6.5,5.0,Data Analyst,na,Rajasthan
3.8,                 Barclays                ,                Analyst - Impairment Analytics               ,New Delhi,                 3L - 6L                                   ,4.5,3.5,na,na,Delhi
3.9,                 GYPR PVT LTD                ,                Data Analyst               ,New Delhi,10.8L - 3L                                   ,7.0,3.5,Data Analyst,na,Delhi
3.0,                 Go2                ,                Data Governance Analyst               ,Remote,                 5L - 6L                                   ,5.5,3.0,na,na,Remote
3.6,                 Deloitte                ,                Data Review Analyst               ,Bangalore,7.2L - 9.6L,8.5,3.5,na,na,Karnataka
4.0,                 Elegant Auto Retail                ,                Data Analytics Intern               ,Noida,                 11L                                    ,5.5,4.0,Data Analyst,na,Uttar Pradesh
4.0,                 Data Bridge Market Research                ,                Senior Research Analyst               ,Gurgaon,                 3L - 9L                                   ,6.0,4.0,na,senior,Haryana
4.2,                 ArchsystemInc                ,                Pricing Analyst               ,New Delhi,                 3L - 4L                                   ,3.5,4.0,na,na,Delhi
3.7,                 Infosys Limited                ,                Technology Architect (Data & Analytics Unit)               ,Bangalore,                 8L - 10L                                   ,9.0,3.5,na,na,Karnataka
3.9,                 Fuel Intelligence                ,                Data Analytics               ,Mumbai,                 5L - 7L                                   ,6.0,3.5,Data Analyst,na,Maharastra
,                 91Squarefeet                ,                Product Analyst               ,India,4.8L - 5.4L,5.0,,Product Analyst,na,India
,                 OPK eServices                ,                Data Analyst Intern               ,India,                 4L - 10L                                   ,7.0,,Data Analyst,na,India
,                 Market Ninety Nine Pvt. Ltd                ,                Business Analyst               ,New Delhi,6.0L - 7.2L,6.5,,Business Analyst,na,Delhi
,                 Raazi Clinical Laboratory                ,                Data Analyst (Remote)               ,Hyderabad,                 4L - 6L                                   ,5.0,,Data Analyst,na,Telangana
,                 Innobuzz Learning Solutions                ,                Business Analyst - Tableau               ,Gurgaon,2.2L - 2.6L,2.5,,Business Analyst,na,Haryana
,                 NatWest Group                ,"                Data Modelling Business Analyst, AVP               ",India,                 4L - 7L                                   ,5.5,,Business Analyst,na,India
,"                 Interactive Education Concepts, Inc                ",                SENIOR DATA ANALYST               ,New Delhi,                 8L - 10L                                   ,9.0,,na,senior,Delhi
4.1,                 S&P Global                ,                Data Analyst               ,India,                 3L - 6L                                   ,4.5,4.0,Data Analyst,na,India
4.2,                 Airtel India                ,                Data Analyst               ,Gurgaon,                 5L - 9L                                   ,7.0,4.0,Data Analyst,na,Haryana
4.0,                 Barclays                ,                Analyst - RFT Data Operations               ,New Delhi,                 8L - 8L                                   ,8.0,4.0,na,na,Delhi
4.2,                 Airtel India                ,                Business Analyst - Messaging               ,Gurgaon,4.8L - 5.4L,5.0,4.0,Business Analyst,na,Haryana
3.2,                 Glamyo Health                ,                Data Analyst               ,New Delhi,                 7L - 11L                                   ,9.0,3.0,Data Analyst,na,Delhi
5.0,                 Fincor Management Advisory Services Pvt. Ltd.                ,                Data engineering ESG Analyst               ,Chandigarh,1.2L - 3.6L,2.5,5.0,Data engineering,na,Chandigarh
4.0,                 Simply logistics pvt ltd                ,                Data Analyst               ,New Delhi,                 5L - 10L                                   ,7.5,4.0,Data Analyst,na,Delhi
4.1,                 RxLogix                ,                Data Analyst               ,Noida,6.6L - 8.4L,7.5,4.0,Data Analyst,na,Uttar Pradesh
5.0,                 Dileep Essentials Pvt. Ltd.                ,                Data Analyst               ,Jaipur,                 5L - 8L                                   ,6.5,5.0,Data Analyst,na,Rajasthan
3.8,                 Barclays                ,                Analyst - Impairment Analytics               ,New Delhi,                 3L - 6L                                   ,4.5,3.5,na,na,Delhi
3.9,                 GYPR PVT LTD                ,                Data Analyst               ,New Delhi,10.8L - 3L                                   ,7.0,3.5,Data Analyst,na,Delhi
